tactic,techniques_available,source,note
Initial Access,12,"MITRE ATT&CK for ICS v19.1, https://attack.mitre.org/versions/v19/matrices/ics/","Count of techniques listed under this tactic. Ten techniques appear under more than one tactic in v19.1, so this column totals 90 tactic-technique pairs across 79 distinct techniques. Do not sum it."
Execution,10,"MITRE ATT&CK for ICS v19.1, https://attack.mitre.org/versions/v19/matrices/ics/",
Persistence,5,"MITRE ATT&CK for ICS v19.1, https://attack.mitre.org/versions/v19/matrices/ics/",
Privilege Escalation,2,"MITRE ATT&CK for ICS v19.1, https://attack.mitre.org/versions/v19/matrices/ics/",
Evasion,7,"MITRE ATT&CK for ICS v19.1, https://attack.mitre.org/versions/v19/matrices/ics/",
Discovery,5,"MITRE ATT&CK for ICS v19.1, https://attack.mitre.org/versions/v19/matrices/ics/",
Lateral Movement,6,"MITRE ATT&CK for ICS v19.1, https://attack.mitre.org/versions/v19/matrices/ics/",
Collection,11,"MITRE ATT&CK for ICS v19.1, https://attack.mitre.org/versions/v19/matrices/ics/",
Command and Control,3,"MITRE ATT&CK for ICS v19.1, https://attack.mitre.org/versions/v19/matrices/ics/",
Inhibit Response Function,13,"MITRE ATT&CK for ICS v19.1, https://attack.mitre.org/versions/v19/matrices/ics/",
Impair Process Control,4,"MITRE ATT&CK for ICS v19.1, https://attack.mitre.org/versions/v19/matrices/ics/",
Impact,12,"MITRE ATT&CK for ICS v19.1, https://attack.mitre.org/versions/v19/matrices/ics/",
