dataset,reference,doi
Edge-IIoTset,"Ferrag et al., IEEE Access, vol. 10, pp. 40281-40306, 2022",10.1109/ACCESS.2022.3165809
ICS-NAD,"Zhou et al., Sci. Data, vol. 13, Art. no. 399, 2026",10.1038/s41597-026-06738-x
X-IIoTID,"Al-Hawawreh et al., IEEE IoT-J, vol. 9, no. 5, pp. 3962-3977, 2022",10.1109/JIOT.2021.3102056
MSU-PWR,"Hink et al., Proc. ISRCS, 2014, pp. 1-8",10.1109/ISRCS.2014.6900095
ICS-Flow,"Dehlaghi-Ghadim et al., IEEE Access, vol. 11, pp. 107982-107996, 2023",10.1109/ACCESS.2023.3320928
Rodofile,"Rodofile et al., Information Security and Privacy, Springer, 2017, pp. 452-459",10.1007/978-3-319-59870-3_30
HIL-WDT,"Faramondi et al., IEEE Access, vol. 9, pp. 122385-122396, 2021",10.1109/ACCESS.2021.3109465
MSU-GP,"Morris and Gao, Critical Infrastructure Protection VIII, Springer, 2014, pp. 65-78",10.1007/978-3-662-45355-1_5
EDS,"Xue et al., IEEE Trans. Ind. Cyber-Phys. Syst., vol. 2, pp. 143-153, 2024",10.1109/TICPS.2024.3406505
SWaT,"Mathur and Tippenhauer, Proc. CySWater, 2016, pp. 31-36",10.1109/CySWater.2016.7469060
